MY☀4K直播,#genre#
CCTV17,http://182.37.41.46:8154/tsfile/live/0019_1.m3u8?key=txiptv
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4k
CCTV8,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8k
CCTV第一剧场,http://38.75.136.137:98/gslb/dsdqpub/dyjc.m3u8?auth=testpub
CCTV第一剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc
CCTV电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV电视指南,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dszn
CCTV风云剧场,http://38.75.136.137:98/gslb/dsdqpub/fyjc.m3u8?auth=testpub
CCTV风云剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc
CCTV风云剧场,http://122.228.104.230:9901/tsfile/live/1020_1.m3u8?key=txiptv
CCTV风云音乐,http://38.75.136.137:98/gslb/dsdqpub/fyyy.m3u8?auth=testpub
CCTV风云音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy
CCTV风云音乐,http://122.228.104.230:9901/tsfile/live/1019_1.m3u8?key=txiptv
CCTV风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
CCTV风云足球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyzq
CCTV风云足球,http://122.228.104.230:9901/tsfile/live/1021_1.m3u8?key=txiptv
CCTV怀旧剧场,http://38.75.136.137:98/gslb/dsdqpub/hjjc.m3u8?auth=testpub
CCTV怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc
CCTV女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
CCTV女性时尚,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=nxss
CCTV世界地理,http://38.75.136.137:98/gslb/dsdqpub/sjdl.m3u8?auth=testpub
CCTV世界地理,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sjdl
CCTV央视台球,http://38.75.136.137:98/gslb/dsdqpub/ystq.m3u8?auth=testpub
CCTV央视台球,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=ystq
CCTV老故事,http://38.75.136.137:98/gslb/dsdqpub/lgs.m3u8?auth=testpub
CCTV老故事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lgs
CCTV发现之旅,http://38.75.136.137:98/gslb/dsdqpub/fxzl.m3u8?auth=testpub
CCTV发现之旅,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fxzl

凤凰卫视,http://zb.xpgtv.net/ysp/smt.php?id=phoenixtv_hd
凤凰资讯,http://zb.xpgtv.net/ysp/smt.php?id=phoenixinfo_hd


CCTV1,https://cdn13.178.indevs.in/163189/bea1d91d91364062
CCTV2,https://cdn16.163189.xyz/163189/c8c76253ac65f6cf
CCTV3,https://cdn16.163189.xyz/163189/6bb5cc0875486ce7
CCTV4,https://cdn16.163189.xyz/163189/2df15a73d91208f3
CCTV5,https://cdn16.163189.xyz/163189/245164482572a9f2
CCTV5+,https://cdn16.163189.xyz/163189/3c8b79c28a1ff196
CCTV6,https://cdn16.163189.xyz/163189/fa9bcf3a053381ab
CCTV7,https://cdn16.163189.xyz/163189/cf87ccdc86d29d58
CCTV8,https://cdn16.163189.xyz/163189/1a61bc7b0b49370d
CCTV9,https://cdn16.163189.xyz/163189/fc5fab4ed236bb81
CCTV10,https://cdn16.163189.xyz/163189/7dc7cecc518c51ad
CCTV11,https://cdn16.163189.xyz/163189/84e8588d94ea522a
CCTV12,https://cdn16.163189.xyz/163189/c55aade87ae9663c
CCTV13,https://cdn13.178.indevs.in/163189/790bc5f7f0f06879
CCTV14,https://cdn16.163189.xyz/163189/48c68d50752edc12
CCTV15,https://cdn16.163189.xyz/163189/9301fb9a6f59e01e
CCTV17,https://cdn16.163189.xyz/163189/c47f0a6c4e8d3e51
------------------------------------------------------------






组播频道,#genre#
